tx_gain,rx_gain,total_sent,total_received,loss_rate,avg_snr,connected_pairs
0.5,0.5,100,6,88.00,11.69,1
0.5,0.6,100,8,84.00,14.23,1
0.5,0.7,100,14,72.00,15.40,1
0.5,0.8,100,9,82.00,16.98,1
0.5,0.9,100,7,86.00,18.47,1
0.6,0.5,100,4,92.00,20.34,1
0.6,0.6,100,9,82.00,21.49,2
0.6,0.7,100,19,62.00,22.77,2
0.6,0.8,100,7,86.00,23.24,2
0.6,0.9,100,6,88.00,25.29,1
0.7,0.5,100,6,88.00,24.20,1
0.7,0.6,100,7,86.00,25.73,1
0.7,0.7,100,4,92.00,26.50,1
0.7,0.8,100,4,92.00,27.45,1
0.7,0.9,100,9,82.00,26.76,1
0.8,0.5,100,12,76.00,26.30,1
0.8,0.6,100,3,94.00,25.08,1
0.8,0.7,100,1,98.00,26.86,1
0.8,0.8,100,4,92.00,26.18,1
0.8,0.9,100,0,100.00,0.00,0
0.9,0.5,100,2,96.00,25.94,1
0.9,0.6,100,0,100.00,0.00,0
0.9,0.7,100,1,98.00,24.75,1
0.9,0.8,100,0,100.00,0.00,0
0.9,0.9,100,0,100.00,0.00,0
